City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
143,Kavaratti,IN,10.5669,72.642,82.74,69,3,4.83,clear sky
144,Flagstaff,US,35.1981,-111.6513,69.01,10,1,14.97,clear sky
145,Andenes,NO,69.3143,16.1194,33.8,80,90,19.57,overcast clouds
146,Iqaluit,CA,63.7506,-68.5145,30.2,86,75,24.16,broken clouds
147,Dikson,RU,73.5069,80.5464,30.24,92,100,23.73,overcast clouds
148,Hokitika,NZ,-42.7167,170.9667,56.19,92,99,7.11,light rain
149,Kalmunai,LK,7.4167,81.8167,78.33,82,81,3.69,broken clouds
150,Luanda,AO,-8.8368,13.2343,80.6,89,40,5.75,light rain
151,Celestun,MX,20.8667,-90.4,83.64,72,1,12.3,clear sky
152,Marienburg,PL,54.0359,19.0266,55.99,60,100,14.41,overcast clouds
153,Lompoc,US,34.6391,-120.4579,62.01,63,83,18.41,broken clouds
154,Torbay,CA,47.6666,-52.7314,33.01,100,90,16.11,mist
155,Khutar,IN,28.2,80.2833,72.81,12,0,5.93,clear sky
156,Shangrao,CN,28.4532,117.9686,61.07,99,92,2.24,light rain
157,Rio Grande,BR,-32.035,-52.0986,71.6,83,90,20.71,overcast clouds
158,Kupang,ID,-10.1667,123.5833,76.15,88,85,2.93,overcast clouds
159,Komsomolskiy,UZ,40.4272,71.7189,51.8,50,4,2.3,clear sky
160,Sao Filipe,CV,14.8961,-24.4956,75.65,67,0,10.74,clear sky
161,Javornik,CZ,50.3908,17.0027,46.99,64,55,6.42,broken clouds
162,Haukipudas,FI,65.1765,25.3523,35.6,64,0,8.05,clear sky
163,Banjar,ID,-8.19,114.9675,80.6,89,20,4.61,few clouds
164,Te Anau,NZ,-45.4167,167.7167,52.83,89,81,1.23,broken clouds
165,Necochea,AR,-38.5473,-58.7368,64.99,75,0,7.0,clear sky
166,Severo-Kurilsk,RU,50.6789,156.125,35.11,76,81,6.33,broken clouds
167,Sobrance,SK,48.7445,22.1814,54.0,58,0,3.44,clear sky
